team_code,artifact,local_path,stage_relpath,bytes
L15,bom,teams/L15_Inžinieri/bom.pdf,L15/bom.pdf,35339
L15,source_code,teams/L15_Inžinieri/code.zip,L15/source_code.zip,17119
L16,team_photo,teams/L16_Kavosh_Line/team_photo.jpeg,L16/team_photo.jpeg,85304
L16,robot_photo,teams/L16_Kavosh_Line/robot_photo.jpeg,L16/robot_photo.jpeg,152176
L16,poster,teams/L16_Kavosh_Line/poster.pdf,L16/poster.pdf,4693143
L16,bom,teams/L16_Kavosh_Line/bom.pdf,L16/bom.pdf,70513
L16,source_code,teams/L16_Kavosh_Line/code.zip,L16/source_code.zip,7610
L16,tdp_pdf_optional,teams/L16_Kavosh_Line/tdp.pdf,L16/tdp_pdf_optional.pdf,753967
L17,team_photo,teams/L17_Mittens/team_photo.jpeg,L17/team_photo.jpeg,769959
L17,robot_photo,teams/L17_Mittens/robot_photo.jpeg,L17/robot_photo.jpeg,556075
L17,poster,teams/L17_Mittens/poster.pdf,L17/poster.pdf,593633
L17,video,teams/L17_Mittens/video.mp4,L17/video.mp4,36624568
L17,video_thumbnail,teams/L17_Mittens/video-thumbnail.png,L17/video_thumbnail.png,228520
L17,bom,teams/L17_Mittens/bom.pdf,L17/bom.pdf,415129
L17,source_code,teams/L17_Mittens/code.zip,L17/source_code.zip,1815
L18,team_photo,teams/L18_NLO Rescue CRO Team/team_photo.jpeg,L18/team_photo.jpeg,328891
L18,robot_photo,teams/L18_NLO Rescue CRO Team/robot_photo.jpeg,L18/robot_photo.jpeg,210639
L18,poster,teams/L18_NLO Rescue CRO Team/poster.pdf,L18/poster.pdf,2561792
L18,video,teams/L18_NLO Rescue CRO Team/video.mp4,L18/video.mp4,403359978
L18,video_thumbnail,teams/L18_NLO Rescue CRO Team/video-thumbnail.png,L18/video_thumbnail.png,280615
L18,bom,teams/L18_NLO Rescue CRO Team/bom.pdf,L18/bom.pdf,131289
L18,source_code,teams/L18_NLO Rescue CRO Team/code.zip,L18/source_code.zip,5746
L18,tdp_pdf_optional,teams/L18_NLO Rescue CRO Team/tdp.pdf,L18/tdp_pdf_optional.pdf,806735
L19,team_photo,teams/L19_Pharaoh/team_photo.jpeg,L19/team_photo.jpeg,303521
L19,robot_photo,teams/L19_Pharaoh/robot_photo.jpeg,L19/robot_photo.jpeg,110783
L19,poster,teams/L19_Pharaoh/poster.pdf,L19/poster.pdf,8046162
L19,video,teams/L19_Pharaoh/video.mp4,L19/video.mp4,305487720
L19,video_thumbnail,teams/L19_Pharaoh/video-thumbnail.png,L19/video_thumbnail.png,156782
L19,bom,teams/L19_Pharaoh/bom.pdf,L19/bom.pdf,140180
L19,source_code,teams/L19_Pharaoh/code.zip,L19/source_code.zip,12938
