team_code,team_name,league,country,team_id,team_dir,poster_file,poster_file_status,poster_file_bytes,document_public_flag,tdp_consent,video_consent,poster_consent,bom_consent,source_code_consent,publication_consent_status,disagreed_artifacts,missing_consent_artifacts,unknown_consent_values,poster_publication_allowed_by_consent,all_publication_consents_agree
M58,RRR Kabelmüsli,Maze,Germany,6a25ee91105b411f7b0654cd,teams/M58_RRR Kabelmüsli,teams/M58_RRR Kabelmüsli/poster.pdf,ok,4310642,False,Agree,Agree,Agree,Agree,Disagree,partial_or_declined,Source Code,,,True,False
M59,Rescue Rats,Maze,Slovakia,6a25ee91105b411f7b0654cf,teams/M59_Rescue Rats,teams/M59_Rescue Rats/poster.pdf,ok,3852097,False,Agree,Agree,Agree,Agree,Disagree,partial_or_declined,Source Code,,,True,False
M60,Robodanesh,Maze,Iran,6a25ee91105b411f7b0654d1,teams/M60_Robodanesh,teams/M60_Robodanesh/poster.pdf,ok,10903358,False,Agree,Agree,Agree,Disagree,Disagree,partial_or_declined,BOM;Source Code,,,True,False
M61,SERŠ TEAM,Maze,Slovenia,6a25ee91105b411f7b0654d3,teams/M61_SERŠ TEAM,teams/M61_SERŠ TEAM/poster.pdf,ok,2546192,False,Agree,Agree,Agree,Agree,Disagree,partial_or_declined,Source Code,,,True,False
M62,Simple,Maze,Republic of Korea,6a25ee91105b411f7b0654d5,teams/M62_Simple,teams/M62_Simple/poster.pdf,ok,13408911,False,Agree,Agree,Agree,Agree,Agree,all_agree,,,,True,True
M63,Stenbackens Gård Robotik,Maze,Sweden,6a25ee91105b411f7b0654d7,teams/M63_Stenbackens Gård Robotik,teams/M63_Stenbackens Gård Robotik/poster.pdf,ok,468917,False,Agree,Agree,Agree,Agree,Disagree,partial_or_declined,Source Code,,,True,False
M64,TOKAI Susano,Maze,Japan,6a25ee91105b411f7b0654d9,teams/M64_TOKAI Susano,teams/M64_TOKAI Susano/poster.pdf,ok,1535522,False,Agree,Agree,Agree,Agree,Agree,all_agree,,,,True,True
M65,Tachyons,Maze,Italy,6a25ee91105b411f7b0654db,teams/M65_Tachyons,teams/M65_Tachyons/poster.pdf,ok,19609215,False,Agree,Agree,Agree,Disagree,Disagree,partial_or_declined,BOM;Source Code,,,True,False
M66,Team Jup Maze,Maze,Netherlands,6a25ee91105b411f7b0654dd,teams/M66_Team Jup Maze,teams/M66_Team Jup Maze/poster.pdf,ok,1993716,False,Agree,Agree,Agree,Agree,Agree,all_agree,,,,True,True
M67,The Worriers,Maze,India,6a25ee91105b411f7b0654df,teams/M67_The Worriers,teams/M67_The Worriers/poster.pdf,ok,3837319,False,Agree,Agree,Agree,Agree,Agree,all_agree,,,,True,True
M68,Theseus,Maze,Canada,6a25ee91105b411f7b0654e1,teams/M68_Theseus,teams/M68_Theseus/poster.pdf,ok,9502193,False,Agree,Agree,Agree,Agree,Agree,all_agree,,,,True,True
